========================================================================
TRANSCRIPTION REPORT
========================================================================
Fine-tuned model : ./whisper-merged-ar-ps
Baseline model   : openai/whisper-large-v3
Audio directory  : data/audio
Lectures         : 2
Total segments   : 300

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
Lecture : NLP_20260221
  Segments total  : 221
  Flagged         : 7
  Duration        : 4848.4 s
  Segs w/ ref     : 221

  Model                      WER (raw)   WER (norm)  CER (raw)
  ───────────────────────── ────────── ──────────── ──────────
  Baseline (large-v3)           0.7138       0.5914     0.4572
  Fine-tuned                    0.3899       0.2201     0.1755
  Improvement                  +0.3240      +0.3713    +0.2818

  Auto-flagged segments:
    segment_029: ['repetition_loop (ratio=0.99)', 'high_cer (cer=1.56)']
    segment_055: ['repetition_loop (ratio=0.97)', 'no_arabic (arabic_ratio=0.03)', 'high_cer (cer=1.48)']
    segment_154: ['repetition_loop (ratio=0.89)', 'too_dense (wps=8.33)', 'high_cer (cer=4.48)']
    segment_162: ['no_arabic (arabic_ratio=0.00)']
    segment_171: ['too_sparse (wps=0.21)']
    segment_202: ['too_sparse (wps=0.10)', 'high_cer (cer=0.74)']
    segment_209: ['repetition_loop (ratio=0.99)', 'too_dense (wps=8.63)', 'high_cer (cer=11.12)']

  Segment details:
  ID                   Dur(s)   WER-FT   WER-BL   CER-FT  Flag
  ──────────────────── ────── ──────── ──────── ──────── ─────
  segment_001            20.9   0.0882   0.4118   0.0188    no
  segment_002            18.8   0.2600   0.4600   0.0567    no
  segment_003            21.3   0.1304   0.7609   0.0289    no
  segment_004            22.3   0.1667   0.4630   0.0503    no
  segment_005            15.3   0.0690   0.4828   0.0111    no
  segment_006            25.0   0.2727   0.6182   0.0883    no
  segment_007            23.2   0.2632   0.5263   0.0731    no
  segment_008            11.0   0.2273   0.5000   0.0515    no
  segment_009            17.4   0.2105   0.5263   0.0369    no
  segment_010            22.0   0.1591   0.8864   0.0490    no
  segment_011            20.0   0.2128   0.4255   0.0466    no
  segment_012            21.0   0.1136   0.4091   0.0410    no
  segment_013            21.1   0.1957   0.8696   0.0598    no
  segment_014            21.9   0.3478   0.6739   0.0936    no
  segment_015            20.6   0.2308   0.7692   0.0850    no
  segment_016            10.6   0.2381   0.9524   0.0597    no
  segment_017            23.0   0.2439   1.1220   0.1128    no
  segment_018            23.5   0.2000   0.7333   0.0500    no
  segment_019            23.8   0.1538   1.0000   0.0649    no
  segment_020            26.8   0.1111   0.5185   0.0361    no
  segment_021            22.7   0.2000   0.6909   0.0423    no
  segment_022            24.0   0.1964   1.4286   0.0440    no
  segment_023            24.8   0.1071   1.5000   0.0312    no
  segment_024            23.8   0.1667   0.5370   0.0561    no
  segment_025            13.8   0.2500   0.8125   0.0552    no
