========================================================================
TRANSCRIPTION REPORT
========================================================================
Fine-tuned model : ./whisper-merged-ar-ps
Baseline model   : openai/whisper-large-v3
Audio directory  : data/audio
Lectures         : 2
Total segments   : 200

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
Lecture : NLP_20260221
  Segments total  : 121
  Flagged         : 4
  Duration        : 2657.1 s
  Segs w/ ref     : 121

  Model                      WER (raw)   WER (norm)  CER (raw)
  ───────────────────────── ────────── ──────────── ──────────
  Baseline (large-v3)           0.7493       0.6305     0.4969
  Fine-tuned                    0.4138       0.2999     0.1729
  Improvement                  +0.3355      +0.3306    +0.3240

  Auto-flagged segments:
    segment_162: ['no_arabic (arabic_ratio=0.00)']
    segment_171: ['too_sparse (wps=0.28)', 'high_cer (cer=1.31)']
    segment_202: ['empty_transcript', 'too_sparse (wps=0.05)', 'high_cer (cer=0.95)']
    segment_224: ['repetition_loop (ratio=0.74)', 'high_cer (cer=0.97)']

  Segment details:
  ID                   Dur(s)   WER-FT   WER-BL   CER-FT  Flag
  ──────────────────── ────── ──────── ──────── ──────── ─────
  segment_101            23.9   0.4571   0.7429   0.1171    no
  segment_102            23.6   0.4359   0.8718   0.2018    no
  segment_103            24.3   0.2979   0.6170   0.1548    no
  segment_104            21.4   0.3243   0.5676   0.1094    no
  segment_105            23.8   0.3611   0.5278   0.0966    no
  segment_106            23.4   0.2857   0.7381   0.0943    no
  segment_107            19.9   0.4444   0.6667   0.1705    no
  segment_108            21.3   0.3250   0.7250   0.0928    no
  segment_109            24.5   0.5116   0.6512   0.2161    no
  segment_110            23.8   0.4565   0.6739   0.1446    no
  segment_111            23.3   0.4583   0.7917   0.1661    no
  segment_112            23.8   0.3636   0.6364   0.1485    no
  segment_113            24.2   0.5758   0.8182   0.2332    no
  segment_114            24.8   0.2653   0.5918   0.0992    no
  segment_115            24.0   0.4167   0.6389   0.2065    no
  segment_116            22.1   0.7667   0.9000   0.2941    no
  segment_117            21.1   0.2308   0.5385   0.0887    no
  segment_118            24.1   0.4138   0.9138   0.1712    no
  segment_119            23.1   0.3784   0.7568   0.1064    no
  segment_120            20.2   0.3962   1.3774   0.1812    no
  segment_121            20.4   0.3667   0.7333   0.1146    no
  segment_122            15.6   0.4737   0.5263   0.1546    no
  segment_123            15.5   0.6786   0.7143   0.3515    no
  segment_124            23.0   0.3143   0.7714   0.1368    no
  segment_125            24.5   0.4444   0.6481   0.1900    no
  segment_126            14.2   0.6316   0.7895   0.2673    no
  segment_127            17.6   0.4762   0.6190   0.1847    no
  segment_128            20.2   0.5667   0.7333   0.1959    no
  segment_129            22.2   0.3667   0.5667   0.1494    no
  segment_130            24.2   0.5208   0.6667   0.3154    no
  segment_131            23.4   0.3333   0.6667   0.1411    no
  segment_132            14.7   0.4545   0.4848   0.1271    no
  segment_133            24.3   0.3030   0.4848   0.1268    no
  segment_134            22.1   0.3529   0.4706   0.1210    no
  segment_135            23.7   0.3333   0.7778   0.1017    no
  segment_136            20.9   0.3056   0.4444   0.0899    no
  segment_137            23.3   0.5000   2.3000   0.3964    no
  segment_138            22.4   0.4848   0.6061   0.2727    no
  segment_139            20.5   0.2432   0.5676   0.0640    no
  segment_140            22.2   0.3125   0.8438   0.1124    no
  segment_141            24.9   0.2333   0.5333   0.0765    no
  segment_142            20.5   0.2857   0.5429   0.1707    no
  segment_143            22.3   0.5135   0.5135   0.1696    no
  segment_144            24.1   0.2093   0.7907   0.0550    no
  segment_145            20.4   0.4146   0.5610   0.1699    no
  segment_146            23.9   0.2955   0.5682   0.0955    no
  segment_147            21.4   0.2439   0.8293   0.0856    no
  segment_148            24.3   0.4906   0.5472   0.1709    no
  segment_149            18.5   0.5312   0.4375   0.2626    no
  segment_150            24.1   0.3143   0.5143   0.1667    no
  segment_151            25.0   0.5652   1.0000   0.1912    no
  segment_152            21.9   0.4130   1.4565   0.1394    no
  segment_153            24.7   0.3810   0.6667   0.1327    no
  segment_154            24.0   0.5714   0.8571   0.2733    no
  segment_155            23.2   0.3947   0.7105   0.1961    no
  segment_156            22.6   0.2791   0.3023   0.0586    no
  segment_157            23.2   0.3519   0.6852   0.1282    no
  segment_158            22.4   0.4242   0.5758   0.2640    no
  segment_159            20.9   0.5435   1.6304   0.2824    no
  segment_160            23.3   0.4286   0.7429   0.1405    no
  segment_162            23.3   0.0667   1.0667   0.0600   YES
  segment_163            23.8   0.8333   0.7500   0.3925    no
  segment_166            21.9   0.2059   0.8529   0.0737    no
  segment_167            18.6   0.4750   0.6750   0.1638    no
  segment_168            22.0   0.3590   1.9231   0.1688    no
  segment_169            23.9   0.3704   0.7778   0.1397    no
  segment_170            24.6   0.5417   0.7083   0.2560    no
  segment_171            14.4   1.3333   1.0000   1.3077   YES
  segment_172            18.5   0.2143   0.9286   0.0643    no
  segment_173            20.8   0.2549   0.7059   0.0850    no
  segment_174            23.3   0.4444   0.9111   0.1732    no
  segment_175            22.8   0.2766   0.6809   0.0856    no
  segment_176            20.3   0.3261   0.7174   0.1339    no
  segment_177            22.1   0.4762   0.6667   0.1835    no
  segment_178            20.7   0.3750   0.7917   0.1241    no
  segment_179            24.4   0.2787   0.7869   0.1041    no
  segment_180            12.1   0.6364   1.0000   0.2712    no
  segment_181            24.7   0.4186   0.7442   0.1346    no
  segment_182            23.0   0.3191   0.5532   0.0738    no
  segment_183            18.8   0.3333   0.9444   0.0995    no
  segment_184            21.1   0.2895   0.4474   0.1171    no
  segment_185            24.2   0.3636   0.6667   0.0674    no
  segment_186            21.6   0.3571   0.7857   0.1776    no
  segment_187            23.2   0.3250   0.6000   0.0892    no
  segment_188            24.9   0.2759   0.5517   0.0705    no
  segment_189            22.3   0.3600   0.6800   0.1325    no
  segment_190            19.8   0.2619   0.5476   0.0811    no
  segment_191            16.5   0.3448   3.4138   0.1173    no
  segment_192            23.3   0.2708   0.5000   0.0925    no
  segment_193            20.3   0.2558   0.6279   0.1004    no
  segment_194            21.3   0.3659   0.8537   0.1364    no
  segment_195            23.3   0.4884   0.5814   0.1371    no
  segment_196            21.4   0.3636   0.8788   0.2139    no
  segment_197            24.0   0.4130   0.9783   0.1124    no
  segment_198            18.7   0.4412   0.6471   0.2205    no
  segment_199            22.3   0.2083   0.4583   0.0981    no
  segment_200            24.7   0.4419   0.9767   0.1169    no
  segment_201            24.9   0.3226   0.5000   0.1217    no
  segment_202            19.4   1.0000   1.0000   0.9474   YES
  segment_203            18.7   0.3913   0.3478   0.1268    no
  segment_204            18.1   0.4242   0.5758   0.0990    no
  segment_205            21.7   0.3333   0.8125   0.1164    no
  segment_206            23.7   0.3000   0.9000   0.1065    no
  segment_207            23.9   0.3200   0.3400   0.0870    no
  segment_208            13.7   0.6154   0.7692   0.1549    no
  segment_209            25.5   0.7500   0.9167   0.3846    no
  segment_210            22.1   0.3889   0.4167   0.1042    no
  segment_211            24.4   0.3962   0.8491   0.1341    no
  segment_212            20.5   0.4186   0.7674   0.1595    no
  segment_213            23.7   0.4286   0.5357   0.1495    no
  segment_214            22.4   0.3889   0.9722   0.1122    no
  segment_215            21.7   0.2381   0.8095   0.0817    no
  segment_216            21.9   0.2222   0.3778   0.0746    no
  segment_217            23.2   0.4082   0.4898   0.1481    no
  segment_218            19.1   0.5357   0.6071   0.2062    no
  segment_219            22.6   0.3250   0.7250   0.0877    no
  segment_220            24.4   0.1935   0.7419   0.0596    no
  segment_221            25.0   0.2500   0.3125   0.0902    no
  segment_222            24.1   0.4359   0.6410   0.1944    no
  segment_223            19.5   0.3448   0.6207   0.0909    no
  segment_224            24.9   1.7593   0.6296   0.9741   YES

  Full transcript (fine-tuned, unflagged segments):
  --------------------------------------------------------------------
  هدولاً، لو تفكر فيها، إنت عندك documents مصنفات، سهل تحسبهم؟ لو بدك
  تعمل implementation للـ parameter estimation، فاضح إنه مش صعب، مش عندك
  كلمات في كل document، فصير أعدّه قسم على عدد فقط. طب، يلا هاد حكينا
  عنه. الـ implementation trick بس هنشو بحكيلك؟ بحكيلك عشان تبسطوا
  الأمور على حالك ثاني الـ implementation، كل الـ documents اللي هم
  class J حطهم في one document، في one mega document. يعني كم document
  رح يصير عندك هسه هيك؟ بعدد class بس، بصير الـ implementation أسهل زي
  ما رح نشوف. ليه؟ لأنك أنت بتصير تحسب الـ frequency لكل كلمة في
  document واحد، في الـ mega document بس، يعني شو احتمالية كلمة مثلاً
  old old given class J بتعد كم مرة إنه ذكرت كلمة old في كل الكلمات اللي
  في هذا الـ document اللي هو mega document J. شو في عنا مشاكل؟ لسه
  طبعاً المشاكل بتخلصش كثيراً، في عنا المشكلة التالية. المشكلة التالية،
  مرت علينا سابقاً، كلمة fantastic، مثلاً نتخيل إنه عندك الـ problem
  sentiment analysis، يعني أنا أعطيك document تقول لي هل الـ review
  positive ولا negative، ونذكرت فيه كلمة fantastic، شو بـ شو بـ أعطيك
  انطباع؟ الـ positive، طيب، طيب، لنفرض إنّها في الـ training dataset
  ولا مرة صدفت إنّ كلمة fantastic ترتبط مع positive، يعني ما نذكرها كلمة
  fantastic، وشفتها في الـ test dataset، هل أعطي هاي probability 0 أثناء
  الـ inference؟ مش منطق صح؟ فأنا بدي أحلّي لي هاي المثل. ‫ليحلّي لي هاي
  المشكلة. ‫ليحلّي لي هاي المشكلة. ‫إذاً بيكون اللي كاونها ما صفّتش ولا
  مرة في الـ training data set ‫بقى ارتبطت الـ fantastic مع الـ
  positive، معناته البصت 0، ‫وكل probability هاي 0. ‫هل منطق إنها تكون
  الـ probability الـ fantastic given positive 0؟ ‫مش منطق. مش منطق، إذا
  رجعنا لمشكلة الـ 0 probabilities اللي حكينا عنها المرة الماضي، cannot
  be conditioned away no matter the other evidence. مقدرش يعني تجاهل الـ
  0 probability. فكيف إذا بدأ أعمل؟ ممكن حل effective برضو يكون في عندي.
  بكون في عندي smooth-ing، واخدنا المرّة الماضي لا بلاسيان smooth-ing،
  شو لا بلاسيان smooth-ing؟ يعني أعرضها هون بطريقة جميلة، بتظاهر إني شفت
  كل كلمة في كل class مرّة واحدة زيادة، فجمع واحد هون، واحد هون، يعني
  بتظاهر إني شفت كلمة fantastic، fantastic مرة واحدة مع الـ positive
  class. وبرضه مرة واحدة مع الـ negative إذا أصلاً إذا ما ذكرتش مع الـ
  negative. بتقول لي مش منطق، بتقول لك خلاص إحنا بدناش دي أهم إشي أتخلص
  من الـ zeros. الهو شويّة math شو عمل؟ وزّع الـ summation على الجهتين.
  الجهتين، لما يوزع الـ tomash على الجهتين، هاي الـ 1 تحولت لـ V، واضح
  ليش؟ لأنه هو بلفع كل الكلمات، بجمع ones، وإنّها صارت عنده V. فإذاً هاي
  بعد ما تطبّك الـ add1 لـ place and smoothing، هيك بتصير المعادلة الـ
  maximum likelihood estimate للـ likelihood factors. good factors.
  مستحيلة probability عند أي كلمة في الـ vocabulary عند أي class تكون 0.
  وحتكون قيمة قليلة إذا ما ذكرتش ولا مرة بس مش 0. أهم إشي أنا تخلصت من
  الـ zeros. وهون بش بعطيك الـ pseudo code اللي بتستخدمه تستخدمه عشان
  تعمل fitting لـ Model برامجها، بس هون، وهون. نستعرضهم سريعًا. هون عديل
  لكم عدد Documents في Class J على عدد Documents الكامل عشان تحسب الـ
  Prior. هون بيعطيك الخطوات. خطوات، امشي عكل الـ documents اللي هم class
  J، ادمجهم كلهم مع بعض في mega document، إذاً صار عندك عدد من documents
  بعدد classes، بعدين عند هذا الـ class J، امشي على كل كلمة، كلمة كلمة،
  اعد كم مرّة ذكرت كل كلمة في class J، هاي هم، أيّهن، على شو؟ على إيش؟
  على n، شو هي n؟ هادي؟ إذاً هاي عدد المرّات إن كلمة، إن ذكرت فيها كلمة
  WK في class J، n هاي عدد الكلمات الكلّي في class J، طبعاً هدول شو؟
  هدول شو؟ اللي هم Smoothink، لما تستخدم 1، Add 1 لـ Plasma & Smoothing،
  بتكون الـ Alpha 1. هاد عندّي سؤال لحد هم. فيه هون نقطة مهمّ إنّي
  نذكرها، نذكرها، اللي هي إلا تصدف إنه هاي مشكلة أخرى غير الكلمات اللي
  بتكون، اللي بشوفها أنا، سواء في الـ train أو الـ test، والكلمات اللي
  ممكن تيجي جديد في الـ test dataset، أو خلينا نعيدها بالصغر ثاني. بصيغة
  ثانية. أنا ما بلشت أحلل الأمور وأبني كليسيفير شوف كنت شايف هدول
  الكلمات عشرة آلاف كلمة، بس لما بلشت أستخدمها، صلت أشوف كلمات جديدة ما
  عمريش شفتها، فهاي هي الـ unknown words. What about unknown words that
  appear in our test dataset but not in our training or vocabulary
  dataset؟ We ignore them بكلك أحد التكنيكس techniques ممكن انت تحمل.
  حين درسنا اشي سابقاً غير هيك صح؟ مهملناهم اش. عطيناهم very small
  probability. لكن بكلك إذا كانت الـ training dataset already
  representative enough وكبيرة وطلّعبت منها تقريباً كل الكلمات ممكن تكون
  مهمة، تكون مهمة، فعندنا في الغالب إذا فيه document في الـ test data
  فيه، فيه كلمة واحدة فيه، مش موجودة ممكن ما تكونش مهمة ذالك
  classification task، فاحملها. Remove them from the test document.
  Pretend they were not there. Don't include any probability for them at
  all. for them at all. يعني بكون لك ظهور الكلمة الـ unknown في الـ test
  document عادةً ما بكون evidence قوي إنه يحكي لك لأي class تتبعه. ليش
  بقالكم؟ مين بيحكي لي ليش؟ ‫تكيلي ليش؟ ‫كمان مرة، في الـ test dataset
  أنا عندي كلمة شفتها أول مرة بشوفها، ‫بكلك إنك ‫إنك تستخدمها وتعطيها
